176.052;блеклая_руда;2292;0.0;
176.052;блеклая_руда;2228;0.0;
176.052;блеклая_руда;2312;0.0;
176.052;блеклая_руда;2196;0.0;
176.052;блеклая_руда;2348;0.0;
176.052;блеклая_руда;2332;0.0;
176.052;блеклая_руда;2208;0.0;
176.052;блеклая_руда;2316;0.0;
176.0521;бонинит;2464;22.0;
176.0521;бонинит;2524;62.0;
176.053;борнит;2196;0.0;
176.053;борнит;2197;65.0;
176.053;борнит;2100;0.0;
176.053;борнит;2101;8.0;
176.053;борнит;2102;18.0;
176.053;борнит;2316;0.0;
176.053;борнит;2317;20.0;
176.053;борнит;2318;27.0;
176.054;браунит;2101;18.0;
176.055;бронзит;2429;0.2;
176.056;брошантит;2476;70.0;
176.057;брусит;2464;69.0;
176.057;брусит;2052;31.0;
176.057;брусит;2100;0.0;
176.058;буланжерит;2308;0.0;
176.058;буланжерит;2332;58.9;
176.058;буланжерит;2316;22.8;
176.058;буланжерит;2317;18.3;
176.059;бурнонит;2308;0.0;
176.059;бурнонит;2196;42.5;
176.059;бурнонит;2197;13.0;
176.059;бурнонит;2332;0.0;
176.059;бурнонит;2316;24.7;
176.059;бурнонит;2317;19.8;
176.059;бурнонит;2100;0.0;
176.059;бурнонит;2320;0.0;
176.059;бурнонит;2408;0.0;
176.059;бурнонит;2192;0.0;
176.059;бурнонит;2228;0.0;
176.059;бурнонит;2048;0.0;
176.059;бурнонит;2208;0.0;
176.06;вад;2593;17.0;
176.06;вад;2582;12.0;
176.06;вад;2476;25.0;
176.06;вад;2544;30.0;
176.06;вад;2480;23.0;
176.06;вад;2504;1.0;
176.061;ванадинит;2140;0.0;
176.061;ванадинит;2380;0.0;
176.061;ванадинит;2208;0.0;
176.062;везувиан;2448;3.5;
176.062;везувиан;2472;1.5;
176.062;везувиан;2468;0.0;
176.062;везувиан;2500;0.0;
176.062;везувиан;2408;0.0;
176.062;везувиан;2196;0.0;
176.062;везувиан;2036;0.0;
176.062;везувиан;2396;0.0;
176.062;везувиан;2512;0.0;
176.063;вермикулит;2464;0.0;
176.063;вермикулит;2465;25.0;
176.063;вермикулит;2428;0.0;
176.063;вермикулит;2429;1.0;
176.063;вермикулит;2430;3.0;
176.063;вермикулит;2432;0.0;
176.063;вермикулит;2433;3.0;
176.063;вермикулит;2434;17.0;
176.063;вермикулит;2424;0.0;
176.063;вермикулит;2425;10.0;
176.063;вермикулит;2426;17.0;
176.063;вермикулит;2524;0.0;
176.063;вермикулит;2525;34.0;
176.063;вермикулит;2526;42.0;
176.063;вермикулит;2052;0.0;
176.063;вермикулит;2053;8.0;
176.063;вермикулит;2054;15.0;
176.064;вивианит;2428;43.0;
176.064;вивианит;2484;28.0;
176.064;вивианит;2192;0.0;
176.064;вивианит;2188;0.0;
176.064;вивианит;2140;0.0;
176.066;висмутин;2309;5.0;
176.066;висмутин;2313;8.8;
176.065;Висмут_самородный;2332;0.0;
176.065;Висмут_самородный;2308;0.0;
176.065;Висмут_самородный;2348;0.0;
176.065;Висмут_самородный;2208;0.0;
176.065;Висмут_самородный;2316;0.0;
176.067;витерит;2140;1.5;
176.067;витерит;2188;0.0;
176.067;витерит;2197;1.0;
176.068;воджинит;2570;74.0;
176.068;воджинит;2574;13.0;
176.069;волластонит;2429;9.3;
176.069;волластонит;2193;5.5;
176.069;волластонит;2465;0.6;
176.07;вольфрамит;2140;0.0;
176.07;вольфрамит;2232;0.0;
176.07;вольфрамит;2340;0.0;
176.07;вольфрамит;2188;0.0;
176.072;вульфенит;2308;60.0;
176.072;вульфенит;2578;39.0;
176.072;вульфенит;2445;7.0;
176.072;вульфенит;2517;28.0;
176.072;вульфенит;2521;1.3;
176.073;вюртцит;2408;63.0;
176.073;вюртцит;2100;1.0;
176.073;вюртцит;2128;3.7;
176.073;вюртцит;2080;0.0;
176.073;вюртцит;2192;0.0;
176.073;вюртцит;2308;0.0;
176.075;галенит;2308;86.6;
176.075;галенит;2312;0.0;
176.075;галенит;2320;0.0;
176.075;галенит;2040;0.0;
176.075;галенит;2332;0.0;
176.075;галенит;2240;0.0;
176.075;галенит;2408;0.0;
176.075;галенит;2100;0.0;
176.075;галенит;2128;0.0;
176.076;галит;2392;61.3;
176.076;галит;2040;0.0;
176.076;галит;2192;0.0;
176.076;галит;2196;0.0;
176.076;галит;2064;0.0;
176.076;галит;2208;0.0;
176.076;галит;2124;0.0;
176.076;галит;2320;0.0;
176.076;галит;2024;0.0;
176.076;галит;2336;0.0;
176.076;галит;2308;0.0;
176.076;галит;2132;0.0;
176.076;галит;2140;0.0;
176.076;галит;2492;0.0;
176.077;галлуазит;2524;0.0;
176.077;галлуазит;2526;12.0;
176.077;галлуазит;2432;0.0;
176.077;галлуазит;2434;2.0;
176.077;галлуазит;2444;0.0;
176.077;галлуазит;2446;1.0;
176.077;галлуазит;2132;0.0;
